Epochs,FID
0,320.92
200,184.19
400,185.72
600,125.93
800,114.01
1000,124.46
1200,101.1
1400,101.38
1600,80.63
1800,80
2000,84.45
2200,76.39
2400,77.96
2600,76.66
2800,75.15
3000,75.16
3200,76.68
3400,73.63
3600,66.11
3800,63.68
4000,63.75
4200,64.89
4400,67.08
4600,64.77
4800,63.44
5000,61.3
5200,64.17
5400,60.18
5600,57.58
5800,59.56
6000,59.47
6200,59.79
6400,55.83
6600,56.64
6800,55.44
7000,53.46
7200,55.6
7400,55.79
7600,54.25
7800,53.08
8000,55.29
8200,52.96
8400,55.72
8600,53.45
8800,53.49
9000,51.51
9200,51.04
9400,55.81
9600,52.01
9800,50.05
10000,49.85
10200,47.75
10400,49.86
10600,51.53
10800,55.51
11000,49.3
11200,46.32
11400,46.43
11600,48.47
11800,49.22
12000,48.9
12200,46.18
12400,49.8
12600,49.89
12800,47.62
13000,48.39
13200,47.9
13400,53.98
13600,48.23
13800,48.13
14000,50.18
14200,47.8
14400,47.45
14600,45.57
14800,47.99
15000,47.25
15200,51.57
15400,47.36
15600,47.14
15800,49.3
16000,50.22
16200,49.79
16400,45.52
16600,46.38
16800,51.69
17000,49.44
17200,47.92
17400,46.74
17600,46.46
17800,46.45
18000,45.19
18200,46
18400,46.23
18600,45.68
18800,44.46
19000,47.87
19200,43.95
19400,45.42
19600,44.94
19800,46.64
20000,49.48
20200,45.81
20400,48.26
20600,46.14
20800,45.54
21000,46.87
21200,47.02
21400,46.74
21600,45.97
21800,45.26
22000,44.04
22200,46.71
22400,48.27
22600,43.97
22800,49.41
23000,45.58
23200,48.1
23400,45.33
23600,53.04
23800,44.24
24000,44
24200,43.27
24400,43.4
24600,46.34
24800,43.73
25000,46.38
25200,47.29
25400,43.28
25600,45.73
25800,45.53
26000,45.9
26200,42.6
26400,47.85
26600,43.55
26800,45.49
27000,44.86
27200,44.93
27400,43.37
27600,45.23
27800,44.67
28000,43.14
28200,42.3
28400,44.47
28600,41.87
28800,43.16
29000,49.51
29200,42.74
29400,41.86
29600,43.43
29800,42.97
30000,44.14
30200,42.54
30400,43.74
30600,41.03
30800,42.99
31000,41.58
31200,45.84
31400,43.53
31600,42.2
31800,43.55
32000,41.98
32200,43.01
32400,42.1
32600,44.73
32800,44.48
33000,45.34
33200,42.47
33400,43.06
33600,44.65
33800,43.11
34000,44.43
34200,45.01
34400,43.07
34600,41.82
34800,43.28
35000,44.69
35200,45.92
35400,41.52
35600,43.16
35800,43.29
36000,42.25
36200,43.5
36400,41.71
36600,39.51
36800,42.42
37000,42.56
37200,46.04
37400,44.04
37600,40.9
37800,42.16
38000,46.4
38200,43.59
38400,42.86
38600,43.75
38800,43
39000,42.07
39200,46.19
39400,41.92
39600,41.36
39800,42.61
40000,42.23
40200,42.2
40400,43.69
40600,42.78
40800,43.58
41000,43.66
41200,42.29
41400,40.62
41600,40.3
41800,40.55
42000,41.95
42200,43.09
42400,40.43
42600,40.46
42800,41.37
43000,40.76
43200,42.4
43400,41.08
43600,40.06
43800,40.62
44000,40.02
44200,40.14
44400,43.04
44600,42.46
44800,42.05
45000,41.14
45200,42.25
45400,41.3
45600,41.9
45800,41.92
46000,42.72
46200,42.55
46400,41.69
46600,41.64
46800,41.22
47000,41.49
47200,41.76
47400,44.32
47600,43.42
47800,41.54
48000,41.74
48200,39.99
48400,42.14
48600,41.13
48800,41.05
49000,41.21
49200,40.75
49400,42.07
49600,40.82
49800,41.58
