Epochs,FID
0,325.79
200,176.69
400,150.2
600,137.22
800,116.9
1000,109.84
1200,111.3
1400,101.45
1600,95.17
1800,90.81
2000,84.51
2200,87.82
2400,84.78
2600,94.19
2800,88.63
3000,81.95
3200,82.96
3400,89.32
3600,80.9
3800,78.46
4000,81.21
4200,78.97
4400,85.2
4600,79.74
4800,81.83
5000,86.72
5200,79.57
5400,79.32
5600,79.14
5800,81.39
6000,78
6200,76.99
6400,77.95
6600,75.73
6800,75.9
7000,84.84
7200,90.64
7400,87.92
7600,80.91
7800,86.12
8000,78.5
8200,80.39
8400,80.93
8600,77.91
8800,78.96
9000,79.17
9200,78.53
9400,76
9600,84.79
9800,85.24
10000,84.07
10200,79.25
10400,78
10600,78.41
10800,85.74
11000,80.03
11200,82.01
11400,74
11600,80.45
11800,74.74
12000,72.87
12200,78.72
12400,77.6
12600,75.98
12800,82.92
13000,74.79
13200,74.71
13400,74.76
13600,74.91
13800,75.39
14000,84.63
14200,78.01
14400,81.95
14600,72.77
14800,73.38
15000,77.6
15200,77.96
15400,72.42
15600,73.02
15800,81.26
16000,74.59
16200,90.21
16400,89.56
16600,82.71
16800,81.89
17000,73.89
17200,71.73
17400,76.09
17600,78.1
17800,74.17
18000,76.99
18200,85.89
18400,79.15
18600,82.58
18800,76.67
19000,75.47
19200,74.6
19400,75.43
19600,74.5
19800,76.49
20000,70.55
20200,70.3
20400,74.54
20600,73.37
20800,74.45
21000,73.23
21200,77.27
21400,71.84
21600,80.37
21800,74.38
22000,73.28
22200,68.99
22400,71.73
22600,72.11
22800,71.42
23000,75.9
23200,75.12
23400,72.64
23600,73.75
23800,73.99
24000,78.05
24200,80.12
24400,82.2
24600,76.43
24800,72.69
25000,72.98
25200,75.62
25400,79.46
25600,79.87
25800,75.19
26000,77.74
26200,73.19
26400,71.54
26600,75.55
26800,76.92
27000,72.65
27200,72.1
27400,71.11
27600,74.87
27800,77.47
28000,67.52
28200,67
28400,69.75
28600,82.27
28800,78.44
29000,75.07
29200,75.88
29400,73.97
29600,72.12
29800,71.05
30000,70.42
30200,84.8
30400,76.74
30600,82.13
30800,74.96
31000,74.42
31200,77.61
31400,70.58
31600,71.69
31800,72.26
32000,70.14
32200,77.94
32400,71.73
32600,70.07
32800,73.66
33000,73.56
33200,75.61
33400,70.64
33600,68.84
33800,69.75
34000,71.27
34200,67.58
34400,68.69
34600,67.09
34800,70.83
35000,67.81
35200,76.41
35400,74.43
35600,73.79
35800,69.17
36000,73.37
36200,69.01
36400,70.47
36600,69.95
36800,84.34
37000,76.79
37200,75.23
37400,72.6
37600,70.27
37800,74.52
38000,71.53
38200,68.49
38400,73.85
38600,73.87
38800,74.6
39000,75.13
39200,70.55
39400,71.8
39600,76.12
39800,69.73
40000,70.06
40200,72.38
40400,71.42
40600,71.18
40800,68.22
41000,75.6
41200,72.81
41400,73.22
41600,68.07
41800,68.56
42000,72.6
42200,74.43
42400,73.76
42600,74.29
42800,78.53
43000,72.96
43200,71.44
43400,70.51
43600,72.06
43800,72.95
44000,70.89
44200,72.4
44400,76.55
44600,71.86
44800,70.61
45000,74.13
45200,89.69
45400,79.38
45600,84.86
45800,76.91
46000,82.44
46200,78.76
46400,79.86
46600,81.33
46800,88.92
47000,82.7
47200,87.36
47400,80.09
47600,79.22
47800,76.89
48000,74.99
48200,81.39
48400,73.71
48600,76.77
48800,72.68
49000,82
49200,80.83
49400,83.35
49600,80.74
49800,76.59
