Epochs,FID
0,312.22
200,195.29
400,310.62
600,153.91
800,142.92
1000,115.48
1200,108.37
1400,102.11
1600,98.24
1800,86.63
2000,88.41
2200,86.58
2400,87.32
2600,79.36
2800,75.69
3000,72.16
3200,72.8
3400,82.43
3600,76.52
3800,68.98
4000,70.09
4200,71.22
4400,81.85
4600,74.71
4800,67.77
5000,67.24
5200,68.81
5400,77.06
5600,70.56
5800,77.63
6000,69.84
6200,65.02
6400,67.98
6600,78.76
6800,86.83
7000,67.97
7200,69.69
7400,73.01
7600,70.64
7800,69.09
8000,67.05
8200,81.64
8400,67.52
8600,72.27
8800,69.15
9000,80.03
9200,66.97
9400,64.26
9600,63.69
9800,61.1
10000,64.58
10200,65.79
10400,63.3
10600,66.91
10800,64.38
11000,62.13
11200,62.81
11400,65.86
11600,62.91
11800,61.94
12000,67.53
12200,65.54
12400,59.04
12600,60.15
12800,62.34
13000,58.97
13200,60.7
13400,60.2
13600,60.48
13800,63.47
14000,56.82
14200,58.61
14400,67.13
14600,63.2
14800,66.42
15000,57.27
15200,59.28
15400,55.42
15600,55.39
15800,64.34
16000,58.06
16200,63.53
16400,59.74
16600,58.5
16800,66.3
17000,60.16
17200,65.16
17400,56.71
17600,63.7
17800,65.44
18000,61.59
18200,58.19
18400,61.21
18600,62.87
18800,59.74
19000,59.17
19200,56.74
19400,56.77
19600,58.59
19800,61.16
20000,67.6
20200,60.31
20400,55.04
20600,59.24
20800,60.78
21000,53.5
21200,61.83
21400,59.02
21600,55.68
21800,56.19
22000,59.55
22200,60.36
22400,55.62
22600,55.55
22800,58.71
23000,59.21
23200,56.8
23400,60.2
23600,60.2
23800,69.67
24000,57.82
24200,66.88
24400,55.66
24600,63.7
24800,64.35
25000,61.16
25200,61.44
25400,55.52
25600,59.25
25800,60.2
26000,57.83
26200,55.16
26400,58.88
26600,57.29
26800,57.37
27000,62.77
27200,55.96
27400,59.37
27600,57.06
27800,64.6
28000,59.2
28200,57.93
28400,60.83
28600,56.63
28800,79.2
29000,64.71
29200,61.83
29400,59.59
29600,64.84
29800,62.68
30000,65.93
30200,60.35
30400,58.5
30600,61.56
30800,55.14
31000,57.73
31200,58.76
31400,71.78
31600,54.22
31800,60.45
32000,61.14
32200,56.41
32400,57.39
32600,57.26
32800,60.33
33000,64.15
33200,68.69
33400,59.48
33600,59.35
33800,61.99
34000,61.64
34200,58.29
34400,63.45
34600,65.19
34800,67.51
35000,60.06
35200,60.91
35400,63.2
35600,64.07
35800,60.1
36000,63.95
36200,65.08
36400,65.66
36600,68.55
36800,72.46
37000,58.48
37200,64.29
37400,59.1
37600,58.08
37800,63.44
38000,60.22
38200,64.36
38400,59.72
38600,59.07
38800,59.75
39000,62.82
39200,56.09
39400,70.51
39600,61.57
39800,61.31
40000,63.01
40200,69.91
40400,65.36
40600,78.48
40800,66.1
41000,59.11
41200,69.13
41400,61.28
41600,57.16
41800,62.92
42000,59.41
42200,63.07
42400,55.6
42600,65.62
42800,67.39
43000,72.76
43200,68.59
43400,71.93
43600,74.71
43800,59.4
44000,75.06
44200,56.67
44400,79.28
44600,63.31
44800,70.57
45000,70.83
45200,64.79
45400,73.16
45600,69.29
45800,63.2
46000,68.5
46200,70.47
46400,70.61
46600,67.2
46800,64.96
47000,61.04
47200,60.78
47400,68.83
47600,73.13
47800,72.91
48000,70.84
48200,69.61
48400,66.65
48600,62.46
48800,66.44
49000,75.63
49200,71.34
49400,69.43
